Field,Value
timestamp,2026-04-30 03:20:49
hostname,ip-172-31-20-227
os,Linux
os_release,6.17.0-1010-aws
architecture,x86_64
python_version,3.12.3
cpu_cores,2
memory,"total        used        free      shared  buff/cache   available
Mem:           911Mi       702Mi        68Mi       2.7Mi       304Mi       209Mi
Swap:             0B          0B          0B"
disk_usage,"Filesystem      Size  Used Avail Use% Mounted on
/dev/root       6.8G  3.3G  3.5G  49% /"
ip_address,172.31.20.227
mac_address,Unavailable
uptime,up 39 minutes
logged_in_users,
